QTYPE,group0
bf16,404
iq1_bn,656313.127831
iq1_kt,8.048153
iq1_m,11.957812
iq1_m_r4,13.457458
iq1_s,19.940084
iq1_s_r4,33.470628
iq2_bn,938788.104981
iq2_bn_r4,937495.848545
iq2_k,5.449864
iq2_k_r4,5.449864
iq2_kl,4.874606
iq2_ks,6.122720
iq2_kt,5.831549
iq3_k,4.334468
iq3_k_r4,4.334468
iq3_ks,4.448973
iq3_kt,4.419580
iq3_s,4.348607
iq3_s_r4,4.346235
iq3_xxs,4.558133
iq3_xxs_r4,4.564476
iq4_k,4.179270
iq4_k_r4,4.179270
iq4_ks,4.187755
iq4_ks_r4,4.187755
iq4_kss,4.236535
iq4_kt,4.211514
iq4_nl,4.187912
iq4_nl_r4,4.185558
iq4_xs,4.181096
iq4_xs_r8,4.182070
iq5_k,4.148309
iq5_k_r4,4.148309
iq5_ks,4.144374
iq5_ks_r4,4.144374
iq6_k,4.1351
q2_K,5.263245
q2_k_r4,5.264195
q3_K,4.377729
q3_k_r4,4.378793
q4_0,4.211168
q4_0_r8,4.212481
q4_1,4.183744
q4_K,4.185550
q4_k_r4,4.181010
q5_0,4.143030
q5_0_r4,4.146611
q5_1,4.138968
q5_K,4.144312
q5_k_r4,4.140382
q6_0,4.141330
q6_0_r4,4.140364
q6_K,4.137349
q6_k_r4,4.134985
