QTYPE,avg_reduction%,score,comp_topp%,pp%,tg%
iq1_kt,89.06,1.0770,+58.10%,+142.86%,+93.86%
iq2_bn_r4,87.50,-52.4800,+100.00%,-87.99%,+278.07%
iq2_kt,86.72,18.6135,+40.63%,+137.23%,+99.74%
iq2_ks,86.33,56.2705,+43.43%,+141.24%,+257.57%
iq2_k,85.16,40.0400,+36.99%,+50.16%,+257.96%
iq2_k_r4,85.16,44.9950,+36.99%,+50.26%,+277.68%
q2_K,83.59,46.1085,+38.15%,+65.88%,+271.15%
q2_k_r4,83.59,7.8285,+38.18%,-91.93%,+275.98%
iq2_kl,83.20,51.2460,+32.23%,+129.33%,+204.57%
iq3_xxs,80.86,35.1480,+23.81%,+125.40%,+110.44%
iq3_xxs_r4,80.86,-1.0280,+23.87%,-94.13%,+185.51%
iq3_kt,80.47,34.1575,+19.98%,+122.58%,+93.99%
iq3_ks,80.08,67.3105,+18.88%,+125.19%,+219.58%
iq3_k,78.52,46.1735,+18.94%,+44.02%,+216.45%
iq3_k_r4,78.52,50.3610,+18.94%,+44.58%,+232.64%
iq3_s,78.52,29.3840,+19.64%,+120.12%,+75.98%
iq3_s_r4,78.52,-9.4620,+19.65%,-93.07%,+133.81%
q3_K,78.52,50.7880,+22.15%,+62.26%,+229.50%
q3_k_r4,78.52,9.1975,+22.19%,-92.34%,+217.89%
iq4_kss,75.00,61.0230,+13.12%,+116.03%,+180.55%
iq4_kt,75.00,22.0740,+12.40%,+110.88%,+27.02%
iq4_ks,73.44,60.6405,+10.57%,+113.81%,+171.02%
iq4_ks_r4,73.44,66.6880,+10.57%,+113.07%,+195.95%
iq4_xs,73.44,67.1180,+10.54%,+113.75%,+196.87%
iq4_xs_r8,73.44,15.4650,+10.66%,-91.58%,+196.08%
iq4_k,71.88,47.0140,+8.92%,+40.17%,+183.55%
iq4_k_r4,71.88,49.4365,+8.92%,+39.02%,+194.39%
iq4_nl,71.88,61.6900,+10.98%,+106.08%,+184.60%
iq4_nl_r4,71.88,13.8595,+10.96%,-92.35%,+191.64%
q4_0,71.88,61.5470,+11.58%,+109.88%,+182.64%
q4_0_r8,71.88,14.3505,+11.58%,-89.11%,+192.82%
q4_K,71.88,63.9525,+9.45%,+107.30%,+186.29%
q4_k_r4,71.88,16.3980,+9.38%,-90.09%,+193.21%
q4_1,68.75,57.4125,+10.86%,+104.66%,+168.41%
iq5_ks,67.19,57.2995,+5.45%,+97.62%,+153.39%
iq5_ks_r4,67.19,59.5420,+5.45%,+99.93%,+160.05%
iq5_k,65.62,42.7350,+4.67%,+34.68%,+154.96%
iq5_k_r4,65.62,42.5400,+4.67%,+32.72%,+156.14%
q5_0,65.62,56.3900,+6.20%,+98.38%,+151.96%
q5_0_r4,65.62,10.3085,+6.15%,-91.59%,+157.44%
q5_K,65.62,57.8080,+5.75%,+98.35%,+155.87%
q5_k_r4,65.62,12.2690,+5.78%,-91.25%,+163.45%
q5_1,62.50,50.9035,+5.83%,+92.47%,+134.46%
q6_0,59.38,51.5930,+3.16%,+88.84%,+130.16%
q6_0_r4,59.38,5.7005,+3.16%,-91.97%,+127.42%
q6_K,58.98,41.9735,+3.01%,+43.79%,+136.16%
q6_k_r4,58.98,6.6950,+3.44%,-92.73%,+133.29%
iq6_k,58.59,35.2455,+2.69%,+29.80%,+121.93%
q8_KV,50.00,-27.8835,+8.95%,-93.73%,+18.00%
q8_k_r8,49.61,1.3665,+2.30%,-90.94%,+105.61%
q8_0,46.88,40.4425,+1.95%,+72.31%,+97.26%
q8_0_r8,46.88,-3.6845,+1.97%,-92.75%,+85.90%
bf16,0.00,0.0000,+0.00%,+0.00%,+0.00%
