QTYPE,group0
bf16,+0%
iq1_bn,+77.46%
iq1_kt,+142.86%
iq1_m,+71.77%
iq1_m_r4,+52.41%
iq2_bn,+73.94%
iq2_bn_r4,-87.99%
iq2_k,+50.16%
iq2_k_r4,+50.26%
iq2_kl,+129.33%
iq2_ks,+141.24%
iq2_kt,+137.23%
iq3_k,+44.02%
iq3_k_r4,+44.58%
iq3_ks,+125.19%
iq3_kt,+122.58%
iq3_s,+120.12%
iq3_s_r4,-93.07%
iq3_xxs,+125.40%
iq3_xxs_r4,-94.13%
iq4_k,+40.17%
iq4_k_r4,+39.02%
iq4_ks,+113.81%
iq4_ks_r4,+113.07%
iq4_kss,+116.03%
iq4_kt,+110.88%
iq4_nl,+106.08%
iq4_nl_r4,-92.35%
iq4_xs,+113.75%
iq4_xs_r8,-91.58%
iq5_k,+34.68%
iq5_k_r4,+32.72%
iq5_ks,+97.62%
iq5_ks_r4,+99.93%
iq6_k,+29.80%
q2_K,+65.88%
q2_k_r4,-91.93%
q3_K,+62.26%
q3_k_r4,-92.34%
q4_0,+109.88%
q4_0_r8,-89.11%
q4_1,+104.66%
q4_K,+107.30%
q4_k_r4,-90.09%
q5_0,+98.38%
q5_0_r4,-91.59%
q5_1,+92.47%
q5_K,+98.35%
q5_k_r4,-91.25%
q6_0,+88.84%
q6_0_r4,-91.97%
q6_K,+43.79%
q6_k_r4,-92.73%
q8_0,+72.31%
q8_0_r8,-92.75%
q8_k_r8,-90.94%
q8_KV,-93.73%
